,"bilingu_wordpair","en_wordpair","en_word_1","en_word_2","cs_wordpair","cs_word_1","cs_word_2","cs_annotator_ 1","cs_annotator_ 2","cs_annotator_ 3","cs_annotator_ 4","cs_annotator_ 5","cs_annotator_ 6","cs_annotator_ 7","cs_annotator_ 8","cs_annotator_ 9","cs_annotator_ 10","cs_annotator_ 11","cs_annotator_ 12","cs_annotator_ 13","cs_annotator_ 14","cs_annotator_ 15","cs_annotator_ 16","cs_annotator_ 17","cs_annotator_ 18","cs_annotator_ 19","cs_annotator_ 20","cs_annotator_ 21","cs_annotator_ 22","cs_annotator_ 23","cs_annotator_ 24","cs_annotator_ 25","cs upper CI","cs mean","cs lower CI"
"1","admission-ticket_vstup-lístek","admission-ticket","admission","ticket","vstup-lístek","vstup","lístek",5,"4",5,"3",8,7,9,7,"8",6,3,7,7,"9","6","7",6,"8","7",6,9,4,"9",6,7,"16.9689103391538","11.12","5.27108966084621"
"2","admission-ticket_vstupné-lístek","admission-ticket","admission","ticket","vstupné-lístek","vstupné","lístek",5,"2",7,"8",9,8,0,7,"8",7,5,9,7,"6","8","8",7,"5","8",6,10,3,"9.5",8,9,"13.9730137710567","10.28","6.58698622894326"
"3","alcohol-chemistry_alkohol-chemie","alcohol-chemistry","alcohol","chemistry","alkohol-chemie","alkohol","chemie",9,"4",1,"7",8,8,9,2,"8",6,4,9,4,"5","5","5",6,"9","3",7,10,5,"6",4,5,"12.5770544353893","9.24","5.90294556461066"
"4","alcohol-chemistry_líh-chemie","alcohol-chemistry","alcohol","chemistry","líh-chemie","líh","chemie",8,"5",6,"6",7,3,10,2,"9",6,5,8,6,"8.2","7","6.5",6,"7","6",3,10,6,"7",6,6,"15.4871780238691","10.44","5.39282197613092"
"5","aluminum-metal_hliník-kov","aluminum-metal","aluminum","metal","hliník-kov","hliník","kov",7,"6",7,"7",8,10,10,7,"10",8,8,8,8,"9.5","8","8",9,"7","7",7,10,9,"8",7,8,"18.4148864469234","12.4","6.38511355307664"
"6","announcement-effort_oznámení-snaha","announcement-effort","announcement","effort","oznámení-snaha","oznámení","snaha",7,"1",1,"2",1,0,4,0,"6",4,1,6,5,"3","4","4",3,"5","4",1,0,2,"1",0,0,"6.44397792132211","4.32","2.19602207867789"
"7","announcement-effort_oznámení-úsilí","announcement-effort","announcement","effort","oznámení-úsilí","oznámení","úsilí",2,"0",3,"1",4,0,0,0,"6",5,1,3,4,"6","5","3",2,"4","6",1,1,2,"4",0,0,"8.80339513647055","5.04","1.27660486352945"
"8","announcement-news_oznámení-noviny","announcement-news","announcement","news","oznámení-noviny","oznámení","noviny",8,"7",7,"7",8,8,8,8,"9",5,6,8,7,"7","5","7.5",7,"6","8",7,7,6,"8",6,3,"14.7361776955699","10.68","6.6238223044301"
"9","announcement-news_oznámení-zprávy","announcement-news","announcement","news","oznámení-zprávy","oznámení","zprávy",9,"6",7,"6",7,7,9,8,"10",7,6,10,8,"6.4","7","8",5,"5","6",8,8,3,"9",7,7,"14.0287439776832","10.32","6.61125602231677"
"10","announcement-production_oznámení-výroba","announcement-production","announcement","production","oznámení-výroba","oznámení","výroba",0,"2",0,"2",0,1,5,0,"3",4,1,2,3,"1","5","4",3,"5","4",2,4,3,"3",1,3,"5.07784047825407","3.8","2.52215952174593"
"11","announcement-production_oznámení-produkce","announcement-production","announcement","production","oznámení-produkce","oznámení","produkce",7,"1",2,"1",4,0,5,0,"7",4,1,2,4,"5.8","4","3",0,"4.5","6",1,0,1,"3",1,0,"8.82631117087752","5.16","1.49368882912248"
"12","announcement-warning_oznámení-varování","announcement-warning","announcement","warning","oznámení-varování","oznámení","varování",3,"7.5",6,"7",7,9,9,6,"9",6,8,6,7,"8.1","8","7.5",6,"5","8",6,9,7,"8.75",6,8,"16.2672183795481","11.32","6.37278162045188"
"13","Arafat-Jackson_Arafat-Jackson","Arafat-Jackson","Arafat","Jackson","Arafat-Jackson","Arafat","Jackson",7,"3",5,"3",5,0,0,0,"1",8,5,9,6,"4","8","7.5",2,"1","5",2,3,3,"4",3,0,"8.77599275759724","5.96","3.14400724240275"
"14","Arafat-peace_Arafat-mír","Arafat-peace","Arafat","peace","Arafat-mír","Arafat","mír",3,"5",6,"9",10,4,10,5,"7",5,4,7,4,"9","5","7",8,"6","6",5,9,6,"7",5,5,"16.4475041223152","10.68","4.9124958776848"
"15","Arafat-terror_Arafat-terorismus","Arafat-terror","Arafat","terror","Arafat-terorismus","Arafat","terorismus",7,"7",5,"8.5",8,3,10,4,"9",5,6,7,7,"9.3","5","6",4,"5","7",7,9,5,"8.5",5,6,"17.1886567661903","11.16","5.13134323380967"
