slovo_1.v;slovo_2.v
dohoda;ubytování
planeta;měsíc
šálek;artikl
šálek;hmota
cesta;výprava
droga;zneužití
postel;záchod
letadlo;auto
doktor;riziko
chlapec;bratr
počítač;zprávy
ulice;blok
akcie;telefon
nestrannost;zájem
země;obyvatel
OPEC;ropa
stát;občan
nasazení;odchod
pozorování;architektura
dolar;babka
precedent;vědomí
hudba;projekt
šance;důvěryhodnost
psychologie;věda
příroda;člověk
dividenda;výpočet
sjednání;ubytování
tekutina;voda
planeta;astronom
den;úsvit
energie;tajemník
léčba;zotavení
vyšetřování;snaha
exponát;pamětihodnosti
hrnek;jídlo
ministr;strana
přeháňka;povodeň
vodka;gin
zásoba;vejce
zaostření;život
hliník;kov
skříň;oblečení
zkušenost;hudba
peníze;bohatství
zásoba;CD
nasazení;stažení
ropa;akcie
pití;matka
cesta;auto
média;nárůst
šálek;látka
sklo;kouzelník
opera;průmysl
zpoždění;rasismus
les;hřbitov
cesta;automobil
čára;pojištění
maratón;sprint
náchylnost;pojištění
planeta;vesmír
šálek;káva
den;svítání
psychologie;Freud
ulice;děti
prostředí;ekologie
tygr;kočka
poledne;provázek
mnich;věštba
možnost;dívka
banka;peníze
pití;ucho
guvernér;rozhovor
plodnost;vajíčko
cesta;putování
mladík;bratr
investor;výdělek
Jeruzalém;Palestinec
šálek;pití
oznámení;výroba
vlak;auto
seznam;kategorie
voda;prosakování
oznámení;varování
slovo;podoba
tajemník;senát
automobil;automobil
pobřeží;les
soupis;kategorie
hrnek;artefakt
psychologie;poznávání
precedent;kolekce
jídlo;kohout
rada;doporučení
začátek;rok
drahokam;šperk
pití;jíst
život;doba
média;obchodování
šálek;jídlo
věrohodnost;informace
chytrý;student
mladík;čaroděj
kredit;karta
země;občan
hrnek;káva
úvěr;karta
oběť;nouze
precedent;sbírka
smrt;řada
zásoba;telefon
hřbitov;lesík
hřbitov;zalesnění
břeh;zalesnění
linka;pojištění
cukr;přístup
dvanáct;struna
hra;tým
šálek;čaj
vlak;automobil
dekorace;odvaha
peníze;vlastnictví
fotbal;fotbal
milenec;hádka
počítač;software
krevety;jídlo
hra;kolo
psychologie;psychiatrie
film;popcorn
profesor;okurka
představenstvo;doporučení
šálek;objekt
právník;důkazy
kohout;putování
mravnost;důležitost
muž;guvernér
arichtektura;století
druh;pojištění
ministerstvo;kultura
maraton;sprint
kniha;knihovna
kůže;oko
ústav;blázinec
planeta;galaxie
pobřeží;pobřeží
precedent;příklad
smrt;spolubydlící
biskup;rabín
guvernér;interview
registrace;dohoda
typ;druh
akcie;trh
energie;sekretářka
pták;jeřáb
architektura;století
hra;série
opera;vystoupení
rozum;kritérium
psychologie;strach
energie;krize
hřbitov;les
oběť;krize
mořské plody;humr
doktor;náchylnost
humr;jídlo
výroba;túra
zobrazení;povrch
alkohol;chemie
zpráva;výtěžek
znak;odchod
menšina;mír
peníze;dolar
chléb;máslo
auto;automobil
film;hvězda
FBI;otisk prstu
šoustání;sex
postup;instituce
dividenda;platba
zásoba;vajíčko
média;výtěžek
morálka;důležitost
ryby;moře
zákazník;sebevědomí
žurnál;asociace
jaguár;auto
počítač;internet
cestování;činnost
šálek;nádobí
hotel;rezervace
jídlo;ovoce
buňka;telefon
Mars;voda
Maradona;fotbal
cestování;aktivita
znamení;výklenek
blázinec;cvokárna
zpoždění;noviny
vstup;lístek
akord;úsměv
šálek;tekutina
profesor;doktor
předsudek;posouzení
box;kolo
rozum;hypertenze
ulice;třída
hrnek;entita
energie;ministr
život;smrt
Mars;vědec
tenis;raketa
oběť;nebezpečí
boj;porážení
mír;pojištění
precedent;soubor
zbraň;tajná
přeháňka;záplava
vyznamenání;udatnost
atmosféra;krajina
zásobit;žít
záchod;šaty
pec;kamna
vystavení;památka
slovo;podobnost
století;národ
registrace;sjednání
šatník;šaty
dítě;matka
dividenda;propočet
Arafat;mír
guvernér;úřad
král;věž
příjezd;hotel
pití;auto
jaguár;automobil
sklad;jaguár
zákon;právník
peníze;praní
tygr;kočkovitý
teritorium;kilometr
zásoba;život
FBI;otisk
obraz;povrch
spotřebitel;energie
sklenice;kouzelník
nemocnice;infrastruktura
tygr;kočkovitá šelma
tygr;zvíře
nástroj;nářadí
zpoždění;zprávy
výbava;výrobce
psychologie;mysl
planeta;hvězda
příčina;hypertenze
důvod;hypertenze
psychologie;úzkost
psychologie;poznání
vyšetřování;úsilí
pokus;mír
pojištění;odpovědnosti
oznámení;noviny
mrtvice;nemocnice
peníze;operace
divák;seriál
populace;vývoj
plodnost;vejce
století;rok
léto;příroda
sklad;CD
batole;matka
úvěr;informace
soutěž;cena
sklad;život
život;lekce
život;těhotenství
kluk;chlapec
pobřeží;kopec
registrace;zařízení
tygr;masožravec
tygr;jaguár
rozvoj;otázka
rybí;moře
pít;auto
psychologie;vědomí
člověk;guvernér
peníze;vklad
poledne;poledne
společnost;akcie
mýdlová;opera
šálek;předmět
OPEC;stát
oznámení;snaha
zpráva;výnos
výbor;doporučení
automobil;let
mnich;otrok
prezident;medaile
válka;vojsko
sklo;kov
sklad;živý
luxus;automobil
smrt;chovanec
chleba;máslo
peníze;hotovost
spotřebitel;důvěra
jeřáb;nářadí
počítač;laboratoř
ministr;senát
ulice;místo
kapalina;voda
šoustat;sex
cesta;cesta
praxe;instituce
zařízení;ubytování
droga;užívání
Arafat;terorismus
Harvard;Yale
psychologie;lékař
život;termín
humr;víno
král;zelí
pití;ústa
rozmístění;stažení
zpráva;zisk
zápas;porážka
média;zisk
precedent;antecedent
precedent;zákon
film;divadlo
kohout;plavba
dobrovolník;motto
hoch;bratr
území;povrch
postel;skříň
Arafat;teror
tygr;savec
precedent;skupina
rozmístění;odjezd
minorita;mír
peníze;banka
začátek;zápas
koncert;virtuos
precedent;poznávání
planeta;lidé
právník;důkaz
král;královna
pravé poledne;provaz
chlapec;čaroděj
znak;úpadek
doktor;personál
opera;představení
akciový;trh
dolar;zisk
postel;šatník
maraton;skok
doktor;sestra
teritorium;povrch
sklad;telefon
dolar;doláč
řád;udatnost
sekretářka;senát
svatý;sex
psychologie;klinika
klenot;šperk
rod;rovnost
Mexiko;Brazílie
výpis;kategorie
dividenda;kalkulace
pití;pusa
vesmír;chemie
miminko;matka
rozmístění;odchod
neschopnost;smrt
psychologie;doktor
pití;automobil
sklad;vajíčko
zisk;varování
středa;noviny
možnost;děvče
video;archív
velikost;vyvýšenina
časopis;sdružení
okurka;brambor
měřítko;index
stav;jaguár
výcvik;instituce
mistrovství;turnaj
planeta;konstelace
planeta;souhvězdí
tygr;zoo
kalkulace;výpočet
výpočet;výpočet
film;popkorn
OPEC;země
problém;výzva
oznámení;produkce
pět;měsíc
precedent;poznání
bojování;porážení
vláda;krize
zbraň;tajný
invalidita;smrt
síť;hardware
basebal;sezóna
droga;zneužívání
zaměření;život
chlapec;mladík
doktor;odpovědnost
znak;pauza
kohout;výprava
mír;plán
psychologie;duše
měsíc;hotel
dobytek;živý
chytrý;hloupý
guvernér;kancelář
záznam;číslo
počasí;předpověď
sedm;série
poledne;dvanáct
přeháňka;bouřka
voda;průsak
šálek;výrobek
muzeum;divadlo
pít;jíst
rybí;humr
láska;sex
rodina;plánování
produkce;štáb
fotbal;kopaná
ryby;jídlo
břeh;lesík
smrt;hádka
hra;vítězství
inventář;CD
situace;závěr
hrnek;pít
produkce;túra
telefon;vybavení
den;léto
investor;výnos
přeháňka;bouře
ropa;sklad
domluva;ubytování
líh;chemie
míle;kilometr
film;kritik
dobrovolník;moto
mýdlo;opera
hřbitov;zálesí
televize;rozhlas
psychologie;zdraví
psychologie;poznávací
kredit;informace
zbraň;tajemství
Jeruzalém;Izrael
chlapec;hoch
válka;jednotky
hrnek;zboží
oběť;pohotovost
útočiště;blázinec
vodka;koňak
cesta;plavba
šálek;kus
příroda;životní prostředí
počítač;noviny
šukat;sex
král;kapusta
hrnek;látka
rekord;číslo
dolar;jen
peníze;transakce
exponát;memorabilia
kohout;cesta
tygr;šelma
luxus;auto
student;profesor
lékař;sestra
příčina;kritérium
jídlo;příprava
peníze;výběr
sto;procento
hoch;čaroděj
peníze;měna
výpis;blízkost
objev;vesmír
životní prostředí;ekologie
oznámení;úsilí
moralita;význam
středa;zprávy
linie;pojištění
moralita;manželství
soupis;blízkost
mořské plody;jídlo
psychologie;deprese
léto;sucho
škola;centrum
smysl;život
video;archiv
baseball;sezóna
fotbal;basketbal
kreditní;karta
precedent;právo
oznámení;zprávy
vesmír;svět
ropa;zásoba
doktor;ručení
muž;žena
pít;matka
společnost;sklad
péče;zotavení
drahokam;klenot
kniha;papír
velikost;význačnost
planeta;slunce
dřevo;les
populace;rozvoj
zprávy;zpráva
náhoda;důvěryhodnost
ryby;humr
vstupné;lístek
šálek;artefakt
kaňon;krajina
energie;laboratoř
ulice;avenue
peníze;majetek
vražda;zabití
pták;kohout
situace;izolace
produkce;obsluha
Japonec;Američan
produkce;posádka
pít;ucho
potraviny;peníze
zákazník;energie
poledne;dvanáctá
zisk;ztráta
fyzika;proton
mořské plody;moře
smrt;pacient
dolar;ztráta
mnich;věštec
precedent;informace
letadlo;automobil
televize;rádio
fotbal;tenis
poledne;vlákno
investor;příjem
směr;kombinace
morálka;manželství
zachování;svět
důvod;kritérium
šálek;kapalina
šálek;podstata
katastrofa;oblast
vývoj;otázka
břeh;zálesí
rybí;jídlo
nářadí;nástroj
měna;trh
okurka;brambora
předsudek;uznání
měřítko;ukazatel
rock;jazz
tygr;fauna
telefon;výbava
problém;letiště
výpočet;počítání
pohlaví;rovnost
příroda;muž
mravnost;manželství
příroda;prostředí
psychologie;disciplína
