Word 1;Word 2;Human (mean);Slovo 1 p1;Slovo 2 p1;Slovo 1 p2;Slovo 2 p2;Slovo 1 p3;Slovo 2 p3;Slovo 1 p4;Slovo 2 p4;Word 1 orig;Word 2 orig
láska;sex;6,77;láska;sex;láska;sex;láska;sex;láska;sex;love;sex
tygr;kočka;7,35;tygr;kočka;tygr;kočka;tygr;kočka;tygr;kočka;tiger;cat
tygr;tygr;10;tygr;tygr;tygr;tygr;tygr;tygr;tygr;šelma;tiger;tiger
kniha;papír;7,46;kniha;papír;kniha;papír;kniha;papír;kniha;papír;book;paper
počítač;klávesnice;7,62;počítač;klávesnice;počítač;klávesnice;počítač;klávesnice;počítač;klávesnice;computer;keyboard
počítač;internet;7,58;počítač;internet;počítač;internet;počítač;internet;počítač;internet;computer;internet
letadlo;auto;5,77;letadlo;auto;letadlo;automobil;letadlo;automobil;letadlo;auto;plane;car
vlak;auto;6,31;vlak;auto;vlak;automobil;vlak;automobil;vlak;auto;train;car
telefon;komunikace;7,5;telefon;komunikace;telefon;komunikace;telefon;komunikace;telefon;komunikace;telephone;communication
televize;rozhlas;6,77;televize;rozhlas;televize;rádio;televize;rozhlas;televize;rádio;television;radio
média;rozhlas;7,42;média;rozhlas;média;rádio;média;rozhlas;média;rádio;media;radio
droga;zneužívání;6,85;droga;zneužívání;droga;zneužívání;droga;zneužití;droga;užívání;drug;abuse
chléb;máslo;6,19;chléb;máslo;chléb;máslo;chléb;máslo;chleba;máslo;bread;butter
okurka;brambora;5,92;okurka;brambora;okurka;brambor;okurka;brambor;okurka;brambora;cucumber;potato
doktor;sestra;7;doktor;sestra;doktor;sestra;doktor;sestra;lékař;sestra;doctor;nurse
profesor;doktor;6,62;profesor;doktor;profesor;doktor;profesor;doktor;profesor;doktor;professor;doctor
student;profesor;6,81;student;profesor;student;profesor;student;profesor;student;profesor;student;professor
chytrý;student;4,62;chytrý;student;chytrý;student;chytrý;student;chytrý;student;smart;student
chytrý;hloupý;5,81;chytrý;hloupý;chytrý;hloupý;chytrý;hloupý;chytrý;hloupý;smart;stupid
společnost;akcie;7,08;společnost;sklad;společnost;akcie;společnost;akcie;společnost;akcie;company;stock
akcie;trh;8,08;akciový;trh;akcie;trh;akcie;trh;akcie;trh;stock;market
sklad;telefon;1,62;sklad;telefon;sklad;telefon;zásoba;telefon;akcie;telefon;stock;phone
zásoba;CD;1,31;sklad;CD;zásoba;CD;zásoba;CD;inventář;CD;stock;CD
zásoba;jaguár;0,92;sklad;jaguár;sklad;jaguár;zásoba;jaguár;stav;jaguár;stock;jaguar
zásoba;vajíčko;1,81;sklad;vajíčko;zásoba;vejce;zásoba;vejce;zásoba;vajíčko;stock;egg
plodnost;vajíčko;6,69;plodnost;vajíčko;plodnost;vejce;plodnost;vejce;plodnost;vajíčko;fertility;egg
sklad;živý;3,73;sklad;živý;zásobit;žít;zásoba;žít;dobytek;živý;stock;live
zásoba;život;0,92;sklad;život;zásoba;život;zásoba;život;zásoba;život;stock;life
kniha;knihovna;7,46;kniha;knihovna;kniha;knihovna;kniha;knihovna;kniha;knihovna;book;library
banka;peníze;8,12;banka;peníze;banka;peníze;banka;peníze;banka;peníze;bank;money
